# ts pid rss_gib state majflt/s minflt/s utime%cpu stime%cpu bcache0_util md0_util idle%
18:14:21 - - - - - - - 72.30 65.10 89.9
18:14:27 - - - - - - - 71.20 63.50 90.7
18:14:33 3999172 0.36 D - - - - 75.50 68.10 83.0
18:14:39 3999172 0.51 R 4.3 5404 5 47 99.10 98.80 86.0
18:14:46 3999172 0.51 D 0.0 4 1 14 99.90 99.60 87.0
18:14:52 3999172 0.51 D 0.0 3 1 9 99.90 99.80 87.5
18:14:58 3999172 0.51 D 0.0 1 1 7 100.10 54.00 81.2
18:15:04 3999172 0.51 D 0.0 2 1 7 100.10 100.10 87.4
18:15:11 3999172 0.51 D 0.0 1 1 5 99.80 99.80 88.4
18:15:17 3999172 0.51 D 0.0 1 1 6 100.10 100.10 87.0
18:15:23 3999172 0.51 R 0.0 1 4 7 76.40 69.40 84.1
18:15:29 3999172 0.51 R 0.0 0 97 3 71.20 64.70 72.6
18:15:36 3999172 0.51 D 0.0 1 40 5 100.00 100.00 87.5
18:15:42 3999172 0.51 D 0.0 1 1 6 100.00 100.00 87.5
18:15:48 3999172 0.51 D 0.0 1 1 4 99.80 99.80 87.2
18:15:54 3999172 0.51 D 0.2 431 1 4 99.90 99.20 87.0
18:16:01 3999172 0.51 D 0.0 7625 0 9 99.90 99.90 81.6
18:16:07 3999172 0.51 D 0.0 7891 0 9 100.10 100.10 85.5
18:16:13 3999172 0.50 D 0.0 7029 0 8 100.10 100.10 87.9
18:16:19 3999172 0.50 D 0.0 8941 0 10 99.90 99.90 66.8
18:16:26 3999172 0.50 R 0.0 9056 0 10 100.00 100.00 88.0
18:16:32 3999172 0.50 D 0.0 8563 0 10 100.10 100.00 86.9
18:16:38 3999172 0.50 D 0.0 5932 0 8 100.00 100.00 87.9
18:16:44 3999172 0.50 D 0.0 4750 0 6 98.20 98.40 88.2
18:16:51 3999172 0.86 R 16.0 15275 80 2 70.00 63.30 87.5
18:16:57 3999172 0.88 R 10.9 787 154 1 79.90 76.90 84.9
18:17:03 3999172 0.94 R 9.4 170 92 0 79.60 72.50 87.3
18:17:09 3999172 0.96 R 0.0 2130 100 0 77.40 76.20 85.3
18:17:16 3999172 1.04 R 0.0 3210 100 0 72.60 66.80 87.3
18:17:22 3999172 1.08 R 0.0 1664 100 0 71.40 63.00 87.9
18:17:28 3999172 0.96 D 592.5 2440 144 2 99.70 65.20 87.3
18:17:34 3999172 1.06 D 4043.5 39 1 1 99.70 68.70 88.4
18:17:41 3999172 1.22 R 775.2 5466 333 22 89.80 69.30 86.1
18:17:47 3999172 1.32 D 4292.1 2852 136 5 99.40 73.50 87.8
18:17:53 3999172 1.39 D 2159.7 829 34 15 99.40 71.20 88.1
18:17:59 3999172 1.49 R 4185.4 32 18 5 76.90 74.40 87.3
18:18:06 3999172 1.59 D 3973.2 18 18 11 99.40 63.60 88.2
18:18:12 3999172 1.65 D 2715.6 177 35 16 98.90 64.00 88.4
18:18:18 3999172 1.74 R 3823.5 1342 24 7 69.80 62.80 87.8
18:18:24 3999172 1.85 D 4242.8 21 14 11 98.90 58.30 86.4
18:18:31 3999172 1.92 D 2971.6 1650 37 16 99.90 99.80 88.5
18:18:37 3999172 1.92 D 80.6 0 0 0 100.00 99.80 88.2
18:18:43 3999172 1.92 D 88.7 1 0 0 100.10 100.10 87.6
18:18:49 3999172 1.92 D 90.3 1 0 0 100.00 99.90 86.3
18:18:56 3999172 1.93 D 320.9 3 0 0 100.00 99.70 88.2
18:19:02 3999172 1.93 D 102.5 1 0 0 99.70 99.00 87.9
18:19:08 3999172 1.93 D 104.4 1 0 0 100.00 99.60 88.2
18:19:14 3999172 1.94 D 81.1 1 0 0 100.00 99.70 86.6
18:19:21 3999172 1.94 D 89.0 1 0 0 99.90 99.70 87.6
18:19:27 3999172 1.94 D 98.6 1 0 0 99.90 99.90 87.6
18:19:33 3999172 1.94 D 97.0 1 0 0 100.00 99.80 81.0
18:19:39 3999172 1.95 D 95.5 1 0 0 100.00 99.90 86.2
18:19:46 3999172 1.95 D 92.4 1 0 0 100.00 99.90 88.4
