0.00.213.552 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.213.781 W srv  llama_server: -----------------
0.00.213.783 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.213.783 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.213.783 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.213.783 W srv  llama_server: -----------------
0.00.214.997 I srv    load_model: loading model '/models/Qwen3.8-Flash-Next-GGUF/UD-IQ3_XXS/Qwen3.8-Flash-Next-UD-IQ3_XXS-00001-of-00003.gguf'
0.00.434.727 W llama_model_loader: tensor overrides to CPU are used with mmap enabled - consider using --load-mode none for better performance
0.12.068.746 I cmn          init: llama threadpool init, n_threads = 16
0.56.077.042 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 163840, kv_unified = 'false'
0.56.149.796 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.56.149.836 I srv  llama_server: model loaded
0.56.149.840 I srv  llama_server: listening on http://0.0.0.0:8080
0.56.149.840 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.56.149.841 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
1.49.885.067 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.49.885.122 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
1.54.194.849 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =     55, progress = 0.93, t =   4.31 s / 12.76 tokens per second
2.16.606.562 I slot print_timing: id  0 | task 1 | prompt eval time =    4463.88 ms /    59 tokens (   75.66 ms per token,    13.22 tokens per second)
2.16.606.586 I slot print_timing: id  0 | task 1 |        eval time =   22257.47 ms /    64 tokens (  353.29 ms per token,     2.83 tokens per second)
2.16.606.591 I slot print_timing: id  0 | task 1 |       total time =   26721.35 ms /   123 tokens
2.16.606.603 I slot print_timing: id  0 | task 1 |    graphs reused =         63
2.16.606.738 I slot      release: id  0 | task 1 | stop processing: n_tokens = 122, truncated = 0
2.28.515.398 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.484
2.28.587.919 I slot launch_slot_: id  0 | task 70 | processing task, is_child = 0
2.33.521.758 I slot print_timing: id  0 | task 70 | prompt eval time =    1239.03 ms /    59 tokens (   21.00 ms per token,    47.62 tokens per second)
2.33.521.762 I slot print_timing: id  0 | task 70 |        eval time =    3694.78 ms /    64 tokens (   58.65 ms per token,    17.05 tokens per second)
2.33.521.763 I slot print_timing: id  0 | task 70 |       total time =    4933.81 ms /   123 tokens
2.33.521.764 I slot print_timing: id  0 | task 70 |    graphs reused =        125
2.33.521.785 I slot      release: id  0 | task 70 | stop processing: n_tokens = 122, truncated = 0
2.46.833.955 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 892121679417
2.46.911.333 I slot launch_slot_: id  0 | task 139 | processing task, is_child = 0
6.21.716.599 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =   2090, progress = 0.02, t = 214.81 s / 9.73 tokens per second
7.07.608.129 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =   4138, progress = 0.04, t = 260.70 s / 15.87 tokens per second
7.53.589.308 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =   6186, progress = 0.05, t = 306.68 s / 20.17 tokens per second
8.33.367.968 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =   8234, progress = 0.07, t = 346.46 s / 23.77 tokens per second
9.04.506.770 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  10282, progress = 0.09, t = 377.60 s / 27.23 tokens per second
9.34.991.264 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  12330, progress = 0.11, t = 408.08 s / 30.21 tokens per second
10.05.700.009 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  14378, progress = 0.12, t = 438.79 s / 32.77 tokens per second
10.30.085.941 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  16426, progress = 0.14, t = 463.17 s / 35.46 tokens per second
10.49.906.538 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  18474, progress = 0.16, t = 483.00 s / 38.25 tokens per second
11.10.297.835 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  20522, progress = 0.18, t = 503.39 s / 40.77 tokens per second
11.30.040.729 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  22570, progress = 0.19, t = 523.13 s / 43.14 tokens per second
11.49.677.255 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  24618, progress = 0.21, t = 542.77 s / 45.36 tokens per second
12.10.084.061 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  26666, progress = 0.23, t = 563.17 s / 47.35 tokens per second
12.30.753.569 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  28714, progress = 0.25, t = 583.84 s / 49.18 tokens per second
12.51.330.206 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  30762, progress = 0.26, t = 604.42 s / 50.90 tokens per second
13.12.375.550 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  32810, progress = 0.28, t = 625.46 s / 52.46 tokens per second
13.35.724.962 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  34858, progress = 0.30, t = 648.81 s / 53.73 tokens per second
13.59.017.879 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  36906, progress = 0.32, t = 672.11 s / 54.91 tokens per second
14.22.545.061 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  38954, progress = 0.34, t = 695.63 s / 56.00 tokens per second
14.47.205.660 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  41002, progress = 0.35, t = 720.29 s / 56.92 tokens per second
15.12.346.478 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  43050, progress = 0.37, t = 745.44 s / 57.75 tokens per second
15.37.057.010 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  45098, progress = 0.39, t = 770.15 s / 58.56 tokens per second
16.01.426.280 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  47146, progress = 0.41, t = 794.51 s / 59.34 tokens per second
16.26.248.860 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  49194, progress = 0.42, t = 819.34 s / 60.04 tokens per second
16.51.368.084 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  51242, progress = 0.44, t = 844.46 s / 60.68 tokens per second
17.16.278.971 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  53290, progress = 0.46, t = 869.37 s / 61.30 tokens per second
17.44.673.220 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  55338, progress = 0.48, t = 897.76 s / 61.64 tokens per second
18.09.132.609 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  57386, progress = 0.49, t = 922.22 s / 62.23 tokens per second
18.33.982.666 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  59434, progress = 0.51, t = 947.07 s / 62.76 tokens per second
18.58.604.155 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  61482, progress = 0.53, t = 971.69 s / 63.27 tokens per second
19.23.985.253 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  63530, progress = 0.55, t = 997.07 s / 63.72 tokens per second
19.49.971.337 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  65578, progress = 0.56, t = 1023.06 s / 64.10 tokens per second
20.19.229.191 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  67626, progress = 0.58, t = 1052.32 s / 64.26 tokens per second
20.49.102.157 I slot print_timing: id  0 | task 139 | prompt processing, n_tokens =  69674, progress = 0.60, t = 1082.19 s / 64.38 tokens per second
