0.01.011.686 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.011.942 W srv  llama_server: -----------------
0.01.011.943 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.011.943 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.011.944 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.011.944 W srv  llama_server: -----------------
0.01.013.138 I srv    load_model: loading model '/models/Qwen3.8-Flash-Next-GGUF/UD-Q3_K_XL/Qwen3.8-Flash-Next-UD-Q3_K_XL-00001-of-00003.gguf'
1.31.342.831 I cmn          init: llama threadpool init, n_threads = 32
2.10.396.806 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
2.10.403.077 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
2.10.403.116 I srv  llama_server: model loaded
2.10.403.121 I srv  llama_server: listening on http://0.0.0.0:8080
2.10.403.121 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
2.10.403.121 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
2.34.834.100 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
2.34.834.171 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
2.39.157.016 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =     19, progress = 0.83, t =   4.32 s / 4.40 tokens per second
2.57.409.694 I slot print_timing: id  3 | task 0 | prompt eval time =    5436.84 ms /    23 tokens (  236.38 ms per token,     4.23 tokens per second)
2.57.409.730 I slot print_timing: id  3 | task 0 |        eval time =   17138.63 ms /    64 tokens (  272.04 ms per token,     3.68 tokens per second)
2.57.409.731 I slot print_timing: id  3 | task 0 |       total time =   22575.47 ms /    87 tokens
2.57.409.734 I slot print_timing: id  3 | task 0 |    graphs reused =         63
2.57.410.078 I slot      release: id  3 | task 0 | stop processing: n_tokens = 86, truncated = 0
2.57.537.953 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.267
2.57.604.851 I slot launch_slot_: id  3 | task 66 | processing task, is_child = 0
3.16.395.156 I slot print_timing: id  3 | task 66 | prompt eval time =     716.41 ms /    23 tokens (   31.15 ms per token,    32.10 tokens per second)
3.16.395.162 I slot print_timing: id  3 | task 66 |        eval time =   18073.79 ms /    64 tokens (  286.89 ms per token,     3.49 tokens per second)
3.16.395.163 I slot print_timing: id  3 | task 66 |       total time =   18790.20 ms /    87 tokens
3.16.395.163 I slot print_timing: id  3 | task 66 |    graphs reused =        125
3.16.395.184 I slot      release: id  3 | task 66 | stop processing: n_tokens = 86, truncated = 0
3.16.486.471 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.267
3.16.558.340 I slot launch_slot_: id  3 | task 132 | processing task, is_child = 0
3.32.919.947 I slot print_timing: id  3 | task 132 | prompt eval time =     793.66 ms /    23 tokens (   34.51 ms per token,    28.98 tokens per second)
3.32.919.953 I slot print_timing: id  3 | task 132 |        eval time =   15567.90 ms /    64 tokens (  247.11 ms per token,     4.05 tokens per second)
3.32.919.954 I slot print_timing: id  3 | task 132 |       total time =   16361.56 ms /    87 tokens
3.32.919.954 I slot print_timing: id  3 | task 132 |    graphs reused =        187
3.32.920.211 I slot      release: id  3 | task 132 | stop processing: n_tokens = 86, truncated = 0
3.32.999.677 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.267
3.33.064.395 I slot launch_slot_: id  3 | task 198 | processing task, is_child = 0
3.48.728.235 I slot print_timing: id  3 | task 198 | prompt eval time =     617.14 ms /    23 tokens (   26.83 ms per token,    37.27 tokens per second)
3.48.728.311 I slot print_timing: id  3 | task 198 |        eval time =   15046.63 ms /    64 tokens (  238.84 ms per token,     4.19 tokens per second)
3.48.728.329 I slot print_timing: id  3 | task 198 |       total time =   15663.78 ms /    87 tokens
3.48.728.346 I slot print_timing: id  3 | task 198 |    graphs reused =        249
3.48.728.643 I slot      release: id  3 | task 198 | stop processing: n_tokens = 86, truncated = 0
3.48.786.554 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.267
3.48.848.316 I slot launch_slot_: id  3 | task 264 | processing task, is_child = 0
4.03.024.919 I slot print_timing: id  3 | task 264 | prompt eval time =     730.09 ms /    23 tokens (   31.74 ms per token,    31.50 tokens per second)
4.03.024.951 I slot print_timing: id  3 | task 264 |        eval time =   13446.40 ms /    64 tokens (  213.43 ms per token,     4.69 tokens per second)
4.03.024.958 I slot print_timing: id  3 | task 264 |       total time =   14176.49 ms /    87 tokens
4.03.024.964 I slot print_timing: id  3 | task 264 |    graphs reused =        311
4.03.024.995 I slot      release: id  3 | task 264 | stop processing: n_tokens = 86, truncated = 0
4.03.103.418 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.267
4.03.170.082 I slot launch_slot_: id  3 | task 330 | processing task, is_child = 0
4.16.822.002 I slot print_timing: id  3 | task 330 | prompt eval time =     589.32 ms /    23 tokens (   25.62 ms per token,    39.03 tokens per second)
4.16.822.078 I slot print_timing: id  3 | task 330 |        eval time =   13062.48 ms /    64 tokens (  207.34 ms per token,     4.82 tokens per second)
4.16.822.102 I slot print_timing: id  3 | task 330 |       total time =   13651.80 ms /    87 tokens
4.16.822.123 I slot print_timing: id  3 | task 330 |    graphs reused =        373
4.16.822.166 I slot      release: id  3 | task 330 | stop processing: n_tokens = 86, truncated = 0
4.16.907.870 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.267
4.16.977.175 I slot launch_slot_: id  3 | task 396 | processing task, is_child = 0
4.25.849.683 I slot print_timing: id  3 | task 396 | prompt eval time =     625.01 ms /    23 tokens (   27.17 ms per token,    36.80 tokens per second)
4.25.849.759 I slot print_timing: id  3 | task 396 |        eval time =    8247.38 ms /    64 tokens (  130.91 ms per token,     7.64 tokens per second)
4.25.849.780 I slot print_timing: id  3 | task 396 |       total time =    8872.39 ms /    87 tokens
4.25.849.799 I slot print_timing: id  3 | task 396 |    graphs reused =        435
4.25.849.837 I slot      release: id  3 | task 396 | stop processing: n_tokens = 86, truncated = 0
4.26.010.554 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.267
4.26.079.457 I slot launch_slot_: id  3 | task 462 | processing task, is_child = 0
4.31.122.088 I slot print_timing: id  3 | task 462 | prompt eval time =     658.70 ms /    23 tokens (   28.64 ms per token,    34.92 tokens per second)
4.31.122.094 I slot print_timing: id  3 | task 462 |        eval time =    4383.88 ms /    64 tokens (   69.59 ms per token,    14.37 tokens per second)
4.31.122.095 I slot print_timing: id  3 | task 462 |       total time =    5042.57 ms /    87 tokens
4.31.122.096 I slot print_timing: id  3 | task 462 |    graphs reused =        497
4.31.122.400 I slot      release: id  3 | task 462 | stop processing: n_tokens = 86, truncated = 0
4.31.185.446 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.267
4.31.185.519 I slot launch_slot_: id  3 | task 528 | processing task, is_child = 0
4.35.922.674 I slot print_timing: id  3 | task 528 | prompt eval time =     550.51 ms /    23 tokens (   23.94 ms per token,    41.78 tokens per second)
4.35.922.680 I slot print_timing: id  3 | task 528 |        eval time =    4186.60 ms /    64 tokens (   66.45 ms per token,    15.05 tokens per second)
4.35.922.681 I slot print_timing: id  3 | task 528 |       total time =    4737.12 ms /    87 tokens
4.35.922.682 I slot print_timing: id  3 | task 528 |    graphs reused =        559
4.35.922.701 I slot      release: id  3 | task 528 | stop processing: n_tokens = 86, truncated = 0
4.35.978.013 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.267
4.35.978.079 I slot launch_slot_: id  3 | task 594 | processing task, is_child = 0
4.51.038.453 I slot print_timing: id  3 | task 594 | prompt eval time =     596.00 ms /    23 tokens (   25.91 ms per token,    38.59 tokens per second)
4.51.038.531 I slot print_timing: id  3 | task 594 |        eval time =   14464.34 ms /    64 tokens (  229.59 ms per token,     4.36 tokens per second)
4.51.038.552 I slot print_timing: id  3 | task 594 |       total time =   15060.34 ms /    87 tokens
4.51.038.571 I slot print_timing: id  3 | task 594 |    graphs reused =        621
4.51.038.630 I slot      release: id  3 | task 594 | stop processing: n_tokens = 86, truncated = 0
4.51.117.298 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.267
4.51.179.633 I slot launch_slot_: id  3 | task 660 | processing task, is_child = 0
4.56.051.301 I slot print_timing: id  3 | task 660 | prompt eval time =     613.27 ms /    23 tokens (   26.66 ms per token,    37.50 tokens per second)
4.56.051.306 I slot print_timing: id  3 | task 660 |        eval time =    4258.29 ms /    64 tokens (   67.59 ms per token,    14.79 tokens per second)
4.56.051.307 I slot print_timing: id  3 | task 660 |       total time =    4871.56 ms /    87 tokens
4.56.051.308 I slot print_timing: id  3 | task 660 |    graphs reused =        683
4.56.051.325 I slot      release: id  3 | task 660 | stop processing: n_tokens = 86, truncated = 0
4.56.107.568 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.267
4.56.107.633 I slot launch_slot_: id  3 | task 726 | processing task, is_child = 0
5.01.973.512 I slot print_timing: id  3 | task 726 | prompt eval time =     564.42 ms /    23 tokens (   24.54 ms per token,    40.75 tokens per second)
5.01.973.542 I slot print_timing: id  3 | task 726 |        eval time =    5301.38 ms /    64 tokens (   84.15 ms per token,    11.88 tokens per second)
5.01.973.548 I slot print_timing: id  3 | task 726 |       total time =    5865.80 ms /    87 tokens
5.01.973.554 I slot print_timing: id  3 | task 726 |    graphs reused =        745
5.01.973.578 I slot      release: id  3 | task 726 | stop processing: n_tokens = 86, truncated = 0
5.28.190.505 I srv    operator(): operator(): cleaning up before exit...
