0.00.293.821 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.294.045 W srv  llama_server: -----------------
0.00.294.047 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.294.047 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.294.047 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.294.047 W srv  llama_server: -----------------
0.00.295.226 I srv  ctx_tier_ini: context tier 0: n_ctx = 122880, n_ubatch = 2048, n_cpu_moe = 24
0.00.295.227 I srv  ctx_tier_ini: context tier 1: n_ctx = 262144, n_ubatch = 2048, n_cpu_moe = 30
0.00.295.228 I srv  ctx_tier_ini: context tier 2: n_ctx = 512000, n_ubatch = 1024, n_cpu_moe = 32
0.00.295.258 I srv    load_model: loading model '/models/Qwen3.8-Flash-Next-GGUF/UD-IQ3_XXS/Qwen3.8-Flash-Next-UD-IQ3_XXS-00001-of-00003.gguf'
0.00.566.946 W llama_model_loader: tensor overrides to CPU are used with mmap enabled - consider using --load-mode none for better performance
2.54.831.839 I cmn          init: llama threadpool init, n_threads = 16
3.36.302.270 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 122880, kv_unified = 'false'
3.36.311.842 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
3.36.311.890 I srv  llama_server: model loaded
3.36.311.894 I srv  llama_server: listening on http://0.0.0.0:8080
3.36.311.895 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
3.36.311.895 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
3.45.648.446 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
3.45.648.539 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
4.07.658.663 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =     42, progress = 0.66, t =  22.01 s / 1.91 tokens per second
4.14.406.806 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =     60, progress = 0.94, t =  28.76 s / 2.09 tokens per second
4.25.972.619 I slot print_timing: id  0 | task 0 | prompt eval time =   30140.33 ms /    64 tokens (  470.94 ms per token,     2.12 tokens per second)
4.25.972.626 I slot print_timing: id  0 | task 0 |        eval time =   10183.72 ms /    37 tokens (  282.88 ms per token,     3.54 tokens per second)
4.25.972.627 I slot print_timing: id  0 | task 0 |       total time =   40324.04 ms /   101 tokens
4.25.972.630 I slot print_timing: id  0 | task 0 |    graphs reused =         36
4.25.972.679 I slot      release: id  0 | task 0 | stop processing: n_tokens = 100, truncated = 0
4.25.975.714 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.643 (> 0.100 thold), f_keep = 0.630
4.25.975.786 I slot launch_slot_: id  0 | task 40 | processing task, is_child = 0
4.29.102.432 I slot print_timing: id  0 | task 40 | prompt processing, n_tokens =     34, progress = 0.96, t =   3.13 s / 10.87 tokens per second
4.33.494.200 I slot print_timing: id  0 | task 40 | prompt eval time =    3245.85 ms /    38 tokens (   85.42 ms per token,    11.71 tokens per second)
4.33.494.205 I slot print_timing: id  0 | task 40 |        eval time =    4272.54 ms /    42 tokens (  104.21 ms per token,     9.60 tokens per second)
4.33.494.206 I slot print_timing: id  0 | task 40 |       total time =    7518.39 ms /    80 tokens
4.33.494.206 I slot print_timing: id  0 | task 40 |    graphs reused =         76
